id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,3477.0,ORANG,2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,854.0,ORANG,2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,799.0,ORANG,2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3466.0,ORANG,2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,561.0,ORANG,2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,478.0,ORANG,2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,748.0,ORANG,2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1720.0,ORANG,2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,1877.0,ORANG,2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,322.0,ORANG,2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,944.0,ORANG,2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,911.0,ORANG,2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,699.0,ORANG,2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,772.0,ORANG,2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1059.0,ORANG,2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,1802.0,ORANG,2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1545.0,ORANG,2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,137.0,ORANG,2016
19,32,JAWA BARAT,3271,KOTA BOGOR,1229.0,ORANG,2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,844.0,ORANG,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,3881.0,ORANG,2016
22,32,JAWA BARAT,3274,KOTA CIREBON,310.0,ORANG,2016
23,32,JAWA BARAT,3275,KOTA BEKASI,3813.0,ORANG,2016
24,32,JAWA BARAT,3276,KOTA DEPOK,2827.0,ORANG,2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,1080.0,ORANG,2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,754.0,ORANG,2016
27,32,JAWA BARAT,3279,KOTA BANJAR,370.0,ORANG,2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,277.0,ORANG,2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,256.0,ORANG,2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0.0,ORANG,2017
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1013.0,ORANG,2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,406.0,ORANG,2017
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,224.0,ORANG,2017
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,47.0,ORANG,2017
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,728.0,ORANG,2017
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,274.0,ORANG,2017
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,112.0,ORANG,2017
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,184.0,ORANG,2017
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,113.0,ORANG,2017
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,104.0,ORANG,2017
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,122.0,ORANG,2017
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,102.0,ORANG,2017
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,332.0,ORANG,2017
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,201.0,ORANG,2017
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,175.0,ORANG,2017
46,32,JAWA BARAT,3271,KOTA BOGOR,855.0,ORANG,2017
47,32,JAWA BARAT,3272,KOTA SUKABUMI,352.0,ORANG,2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,1786.0,ORANG,2017
49,32,JAWA BARAT,3274,KOTA CIREBON,53.0,ORANG,2017
50,32,JAWA BARAT,3275,KOTA BEKASI,699.0,ORANG,2017
51,32,JAWA BARAT,3276,KOTA DEPOK,548.0,ORANG,2017
52,32,JAWA BARAT,3277,KOTA CIMAHI,313.0,ORANG,2017
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,298.0,ORANG,2017
54,32,JAWA BARAT,3279,KOTA BANJAR,63.0,ORANG,2017
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,741.0,ORANG,2018
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,233.0,ORANG,2018
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,113.0,ORANG,2018
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1774.0,ORANG,2018
59,32,JAWA BARAT,3205,KABUPATEN GARUT,331.0,ORANG,2018
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,196.0,ORANG,2018
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,29.0,ORANG,2018
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,352.0,ORANG,2018
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,215.0,ORANG,2018
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,108.0,ORANG,2018
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,408.0,ORANG,2018
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,911.0,ORANG,2018
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,143.0,ORANG,2018
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,263.0,ORANG,2018
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,60.0,ORANG,2018
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,181.0,ORANG,2018
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,419.0,ORANG,2018
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,75.0,ORANG,2018
73,32,JAWA BARAT,3271,KOTA BOGOR,727.0,ORANG,2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,238.0,ORANG,2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,2826.0,ORANG,2018
76,32,JAWA BARAT,3274,KOTA CIREBON,24.0,ORANG,2018
77,32,JAWA BARAT,3275,KOTA BEKASI,626.0,ORANG,2018
78,32,JAWA BARAT,3276,KOTA DEPOK,891.0,ORANG,2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,288.0,ORANG,2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,223.0,ORANG,2018
81,32,JAWA BARAT,3279,KOTA BANJAR,97.0,ORANG,2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,1210.0,ORANG,2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,616.0,ORANG,2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,643.0,ORANG,2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2635.0,ORANG,2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,769.0,ORANG,2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,210.0,ORANG,2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,404.0,ORANG,2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,505.0,ORANG,2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,1291.0,ORANG,2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,457.0,ORANG,2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,663.0,ORANG,2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,222.0,ORANG,2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,270.0,ORANG,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,544.0,ORANG,2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,199.0,ORANG,2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,511.0,ORANG,2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1706.0,ORANG,2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,158.0,ORANG,2019
100,32,JAWA BARAT,3271,KOTA BOGOR,611.0,ORANG,2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,786.0,ORANG,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,4424.0,ORANG,2019
103,32,JAWA BARAT,3274,KOTA CIREBON,135.0,ORANG,2019
104,32,JAWA BARAT,3275,KOTA BEKASI,2373.0,ORANG,2019
105,32,JAWA BARAT,3276,KOTA DEPOK,2200.0,ORANG,2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,1020.0,ORANG,2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,658.0,ORANG,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,62.0,ORANG,2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,,ORANG,2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,561.0,ORANG,2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,684.0,ORANG,2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,,ORANG,2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,651.0,ORANG,2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,179.0,ORANG,2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,,ORANG,2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,362.0,ORANG,2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,880.0,ORANG,2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,,ORANG,2020
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,707.0,ORANG,2020
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,214.0,ORANG,2020
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,283.0,ORANG,2020
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,534.0,ORANG,2020
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,,ORANG,2020
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,317.0,ORANG,2020
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,968.0,ORANG,2020
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,196.0,ORANG,2020
127,32,JAWA BARAT,3271,KOTA BOGOR,241.0,ORANG,2020
128,32,JAWA BARAT,3272,KOTA SUKABUMI,651.0,ORANG,2020
129,32,JAWA BARAT,3273,KOTA BANDUNG,,ORANG,2020
130,32,JAWA BARAT,3274,KOTA CIREBON,171.0,ORANG,2020
131,32,JAWA BARAT,3275,KOTA BEKASI,,ORANG,2020
132,32,JAWA BARAT,3276,KOTA DEPOK,,ORANG,2020
133,32,JAWA BARAT,3277,KOTA CIMAHI,433.0,ORANG,2020
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,,ORANG,2020
135,32,JAWA BARAT,3279,KOTA BANJAR,146.0,ORANG,2020
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,2220.0,ORANG,2021
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,272.0,ORANG,2021
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,430.0,ORANG,2021
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2026.0,ORANG,2021
140,32,JAWA BARAT,3205,KABUPATEN GARUT,1011.0,ORANG,2021
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,48.0,ORANG,2021
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,470.0,ORANG,2021
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,544.0,ORANG,2021
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,819.0,ORANG,2021
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,447.0,ORANG,2021
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1264.0,ORANG,2021
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,188.0,ORANG,2021
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,287.0,ORANG,2021
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,220.0,ORANG,2021
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,929.0,ORANG,2021
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,370.0,ORANG,2021
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,419.0,ORANG,2021
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,79.0,ORANG,2021
154,32,JAWA BARAT,3271,KOTA BOGOR,526.0,ORANG,2021
155,32,JAWA BARAT,3272,KOTA SUKABUMI,449.0,ORANG,2021
156,32,JAWA BARAT,3273,KOTA BANDUNG,3743.0,ORANG,2021
157,32,JAWA BARAT,3274,KOTA CIREBON,166.0,ORANG,2021
158,32,JAWA BARAT,3275,KOTA BEKASI,1844.0,ORANG,2021
159,32,JAWA BARAT,3276,KOTA DEPOK,3155.0,ORANG,2021
160,32,JAWA BARAT,3277,KOTA CIMAHI,590.0,ORANG,2021
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,909.0,ORANG,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,29.0,ORANG,2021
